Kategorie,Lösungsansatz
Kickbase Features,Admin-Rechte: Manager entfernen
Kickbase Features,Kaderbegrenzung (z.B. 18 Spieler)
Kickbase Features,Spielerlimit pro Verein (z.B. max 3)
Kickbase Features,Soft Reset im Winter
Kickbase Features,Erfolgs-Boni deaktivieren
Kickbase Features,Arena-Modus für entspannte Spieler
Kickbase Features,Transferbeschränkungen
Liga-Regeln,Kein Underpay erlaubt
Liga-Regeln,Mindesthaltedauer nach Transfers (z.B. 48h)
Liga-Regeln,Maximale Transfers pro Monat
Liga-Regeln,Zwangsverkauf bei Inaktivität
Liga-Regeln,Erzwungener Spielertausch zwischen Führendem und Letztem
Liga-Regeln,Strafen für Regelverstöße
Liga-Regeln,Aktivitätsprüfungen
Community Management,Regelmäßige Kommunikation über WhatsApp/Discord
Community Management,Erinnerungen an inaktive Manager
Community Management,Öffentliche Aufrufe zur Aktivität
Community Management,Ersatz-Manager-Pool pflegen
Community Management,Sanfte Ermahnung vor härteren Maßnahmen
Community Management,Aktivitäts-Polling
Community Management,Manager-Austauschbörsen nutzen
Neue Spielmodi,Arena-Modus ohne Transfers
Neue Spielmodi,Liga mit Draft-System
Neue Spielmodi,Mehrere Ligen mit Auf-/Abstieg
Neue Spielmodi,Kompetitive Liga-Systeme
Neue Spielmodi,Rückrunden-Reset
Neue Spielmodi,Beste X Spieltage werten
Präventive Maßnahmen,Sorgfältige Manager-Auswahl
Präventive Maßnahmen,Kaution/Einsatz verlangen
Präventive Maßnahmen,Aktivitäts-Vereinbarungen
Präventive Maßnahmen,Mentor-System für neue Spieler
Präventive Maßnahmen,Regelmäßige Events/Aktivitäten
Präventive Maßnahmen,Klare Regeln von Anfang an
